ISIN	null								
Start date	08.04.2024								
End date	24.04.2024								
									
ISIN	Security full name	Issue size (mn)	Date	Face value	Face value currency	Outstanding face value	Coupon rate, per cent per annum	Payment amount, nominal currency	Payment amount, RUB*
RU000A102A49	OFZ-PK 29019	430194.756	24.04.2024	1000	RUB	1000			
RU000A1025A7	OFZ-PK 29015	409796.724	24.04.2024	1000	RUB	1000			
RU000A101CK7	OFZ PK 24021	300000	24.04.2024	1000	RUB	1000			
RU000A107MM9	KAMAZ PTC BO-P11	10000	24.04.2024	1000	RUB	1000	14.5	36.15	36.15
RU000A107GU4	MFC Bistrodengi 002P-04	366.644	24.04.2024	1000	RUB	1000	22	18.08	18.08
RU000A107GT6	SELL-Servis BO-01	250	24.04.2024	1000	RUB	1000	19.5	16.03	16.03
RU000A107456	MTS-Bank 001P-03	10000	24.04.2024	1000	RUB	1000			
RU000A106WW9	VEB.RF PBO-002P-38	40000	24.04.2024	1000	RUB	1000			
RU000A106SE5	Fordewind 04	300	24.04.2024	1000	RUB	1000	17	13.97	13.97
RU000A106AU9	Ultra BO-01	250	24.04.2024	1000	RUB	1000	16	13.15	13.15
RU000A106AK0	SOBI-LEASING 001P-02	200	24.04.2024	1000	RUB	790	14.3	9.29	9.29
RU000A1068R1	Rosselkhozbank BO-02-002P	25000	24.04.2024	1000	RUB	1000	17.18	14.59	14.59
RU000A1065S5	MegaFon BO-002P-03	20000	24.04.2024	1000	RUB	1000	8.9	22.19	22.19
RU000A105JN7	Global Factoring BO-01-001P	100	24.04.2024	1000	RUB	840	20	13.81	13.81
RU000A105CL6	SOBI-LEASING 001P-01	100	24.04.2024	1000	RUB	580	16	7.63	7.63
RU000A104SJ9	MFC Bistrodengi 03	132.085	24.04.2024	1000	RUB	1000	21	17.26	17.26
RU000A104FG2	Segezha Group 002P-03R	9000	24.04.2024	1000	RUB	1000	16	39.89	39.89
RU000A1042W6	VEB.RF PBO-002P-31	50000	24.04.2024	1000	RUB	1000			
RU000A101MB5	Sovkombank B0-P02	11933.358	24.04.2024	1000	RUB	1000	13.5	33.66	33.66
RU000A101LX1	FGC ROSSETI BO 001P-05R	10000	24.04.2024	1000	RUB	1000	6.5	16.21	16.21
RU000A101LN2	International Invest. Bank 1P3	5000	24.04.2024	1000	RUB	1000	7.75	38.64	38.64
RU000A101LM4	International Invest. Bank 1P2	7000	24.04.2024	1000	RUB	1000	7.75	38.64	38.64
RU000A1013C9	East Siberian petroleum BO-P01	300	24.04.2024	1000	RUB	420	14	4.99	4.99
RU000A100ZF0	Rosseti Ural BO-03	3000	24.04.2024	1000	RUB	1000	8.8	43.88	43.88
RU000A100ZD5	Rosseti Ural BO-04	4000	24.04.2024	1000	RUB	1000	8.8	43.88	43.88
RU000A0P1Y12	VEB.RF PBO-002P-K485	35381.3	24.04.2024	1000	RUB	1000	15.48	5.94	5.94
RU000A0NNHN8	Bank VTB C-1-254(structural)	0	24.04.2024	1000	RUB	1000	0		
RU000A0NNEB0	Bank VTB B-1-189	255.677	24.04.2024	1000	RUB	1000	0.01	0.05	0.05
RU000A0NNEA2	Bank VTB B-1-188	40.602	24.04.2024	1000	RUB	1000	0.01	0.05	0.05
RU000A0JVDD9	FGC ROSSETI 38	20000	24.04.2024	1000	RUB	1000	8.48	21.14	21.14
RU000A0JVCB5	FGC ROSSETI 37	20000	24.04.2024	1000	RUB	1000	8.48	21.14	21.14
RU000A107M32	Aquilon-Leasing BO-03-001P	100	23.04.2024	1000	RUB	1000	17.7	44.13	44.13
RU000A107LU4	PZ Pushkinskoe 001P-02	200	23.04.2024	1000	RUB	1000	19	47.37	47.37
RU000A107GJ7	VseInstrumenti.ru LLC 001P-01	4000	23.04.2024	1000	RUB	1000			
RU000A1074E7	RUSSOIL BO-01	200	23.04.2024	1000	RUB	1000	21	52.36	52.36
RU000A106YR5	DOM.RF Mortgage agent BO 1P37	29839.165	23.04.2024	1000	RUB	944.07			
RU000A106Y88	MFC WEBBANKER 04	350	23.04.2024	1000	RUB	1000	18	14.79	14.79
RU000A106Y21	Naftatrans plus LLC BO-05	250	23.04.2024	1000	RUB	1000	19	15.62	15.62
RU000A106K35	AVTOBAN-Finance B0-P04	5000	23.04.2024	1000	RUB	1000	10	24.93	24.93
RU000A1065K2	DOM.RF 001P-15R	15000	23.04.2024	1000	RUB	1000	8.85	44.13	44.13
RU000A1065C9	ROSSETI BO 001P-09R	5000	23.04.2024	1000	RUB	1000	10.44	26.03	26.03
RU000A1065B1	ABZ-1 001P-04	1500	23.04.2024	1000	RUB	1000	13.75	34.28	34.28
RU000A1065A3	ROSSETI BO 001P-10R	10000	23.04.2024	1000	RUB	1000	11.15	27.8	27.8
RU000A105CF8	Naftatrans plus LLC BO-04	100	23.04.2024	1000	RUB	1000	19	15.62	15.62
