ISIN;null
Start date;08.04.2024
End date;24.04.2024

ISIN;Security full name;Issue size (mn);Date;Face value;Face value currency;Outstanding face value;Payment (% of face value);Payment amount, nominal currency;Payment amount, RUB*
RU000A101CK7;OFZ PK 24021;300000;24.04.2024;1000;RUB;1000;100;1000;1000
RU000A106AK0;SOBI-LEASING 001P-02;200;24.04.2024;1000;RUB;790;3;30;30
RU000A105JN7;Global Factoring BO-01-001P;100;24.04.2024;1000;RUB;840;4;40;40
RU000A105CL6;SOBI-LEASING 001P-01;100;24.04.2024;1000;RUB;580;3;30;30
RU000A1013C9;East Siberian petroleum BO-P01;300;24.04.2024;1000;RUB;420;1;10;10
RU000A0P1Y12;VEB.RF PBO-002P-K485;35381.3;24.04.2024;1000;RUB;1000;100;1000;1000
RU000A0NNHN8;Bank VTB C-1-254(structural);0;24.04.2024;1000;RUB;1000;100;1000;1000
RU000A107M32;Aquilon-Leasing BO-03-001P;100;23.04.2024;1000;RUB;1000;8;80;80
RU000A106YR5;DOM.RF Mortgage agent BO 1P37;29839.165;23.04.2024;1000;RUB;944.07;0;0;
RU000A105BP9;REATORG 001P-01;200;23.04.2024;1000;RUB;900;10;100;100
RU000A103CW8;MFC Zaymer 02;500;23.04.2024;1000;RUB;250.3;8.33;83.3;83.3
RU000A1030Y7;Avto Finance Bank BO-001P-08;8000;23.04.2024;1000;RUB;1000;100;1000;1000
RU000A1030S9;Moscow-72;70000;23.04.2024;1000;RUB;1000;100;1000;1000
RU000A104HG8;Bank VTB C-1-187(structural);0;22.04.2024;1000;RUB;1000;100;1000;1000
RU000A1030F6;Raiffeisenbank BPO-02;61.098;22.04.2024;1000;RUB;1000;100;1000;1000
RU000A1078X8;DirectLeasing BO 002P-02;300;21.04.2024;1000;RUB;933.2;1.67;16.7;16.7
RU000A100CG7;ObjedinenieAgroElita BO-P03;400;21.04.2024;1000;RUB;125;6.25;62.5;62.5
RU000A102ZC3;SFO Azimuth 01;1600;20.04.2024;1000;RUB;558.21;3.83;38.34;38.34
