year,month,value
1950,1,-.06031
1950,2,.62681
1950,3,-.0081275
1950,4,.5551
1950,5,.071577
1950,6,.53857
1950,7,-.80248
1950,8,-.85101
1950,9,.35797
1950,10,-.3789
1950,11,-.51511
1950,12,-1.9281
1951,1,-.084969
1951,2,-.39993
1951,3,-1.9341
1951,4,-.7764799999999999
1951,5,-.86278
1951,6,-.91786
1951,7,.090023
1951,8,-.37741
1951,9,-.81778
1951,10,-.21291
1951,11,-.068519
1951,12,1.9872
1952,1,.36825
1952,2,-1.7472
1952,3,-1.8595
1952,4,.53852
1952,5,-.77351
1952,6,-.44093
1952,7,.38308
1952,8,-.030367
1952,9,-.38345
1952,10,-.43717
1952,11,-1.8909
1952,12,-1.8267
1953,1,-1.0362
1953,2,-.2493
1953,3,1.0683
1953,4,-1.2558
1953,5,-.56207
1953,6,.022535
1953,7,.33317
1953,8,.08496
1953,9,.66161
1953,10,-.19446
1953,11,.3536
1953,12,.57547
1954,1,-.14829
1954,2,-.18094
1954,3,.47572
1954,4,.51169
1954,5,-1.6561
1954,6,-.26811
1954,7,.34089
1954,8,-.12241
1954,9,.3015
1954,10,.51257
1954,11,-.32835
1954,12,.55259
1955,1,-1.1631
1955,2,-1.5423
1955,3,-1.5681
1955,4,.19423
1955,5,.24161
1955,6,-.26578
1955,7,.33194
1955,8,.76012
1955,9,.35676
1955,10,.099053
1955,11,-1.3422
1955,12,-.44403
1956,1,-1.2044
1956,2,-2.0286
1956,3,.47036
1956,4,-.86753
1956,5,1.3911
1956,6,.28014
1956,7,-.2146
1956,8,-.65221
1956,9,-.20195
1956,10,1.1392
1956,11,-.06628
1956,12,.00089139
1957,1,2.0621
1957,2,-1.5132
1957,3,-2.0126
1957,4,.23766
1957,5,-.9661
1957,6,-.7599900000000001
1957,7,-.6462
1957,8,.096898
1957,9,-.95588
1957,10,.9031400000000001
1957,11,-1.38
1957,12,.82801
1958,1,-1.4382
1958,2,-2.2282
1958,3,-2.5218
1958,4,-.36002
1958,5,-.33635
1958,6,-1.1493
1958,7,-.68374
1958,8,-.75479
1958,9,-.012058
1958,10,.7700900000000001
1958,11,-.010675
1958,12,-1.6865
1959,1,-2.0128
1959,2,2.5445
1959,3,1.4318
1959,4,.11124
1959,5,-.34076
1959,6,-.033434
1959,7,.10472
1959,8,-.74521
1959,9,-.28076
1959,10,-.24905
1959,11,-1.4106
1959,12,-.04195
1960,1,-2.4842
1960,2,-2.2124
1960,3,-1.6246
1960,4,-.29731
1960,5,-.85743
1960,6,.054978
1960,7,-.6190600000000001
1960,8,-1.0079
1960,9,-.38164
1960,10,-1.187
1960,11,-.55323
1960,12,-.34295
1961,1,-1.506
1961,2,.62115
1961,3,.34144
1961,4,-.23749
1961,5,.15748
1961,6,.83696
1961,7,-.10797
1961,8,.012693
1961,9,.81485
